trial,raw_file,frequency_hz,message_index,decoded_bits,truth_bits,correct
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,0,00000000000,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,1,00000101010,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,2,11111111111,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,3,01010101010,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,4,00000000000,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,5,10101010101,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,6,00000000000,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,7,10101001100,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,8,11100110101,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,9,11111111111,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,10,01010101010,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,11,00000000000,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,12,01010101010,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,13,11111111111,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,14,01010111111,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,15,11100101010,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,16,00000000000,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,17,01101010101,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,18,11111111111,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,19,10110101010,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,20,11111111111,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,21,10100111111,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,22,11110001100,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,23,00000000000,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,24,01101001010,10110010110,0
s31_synced_replication_20cm_1000Hz_t1,s31_synced_replication_20cm_1000Hz_t1.raw,1000.0,25,00000000000,10110010110,0
